Screaming Circuits SMD component position file.

Centroid Data for pc board: "BotMod.brd" as of: 03/03/2020 19:27
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,1.673,0.925,270
C2,Bottom,2.106,0.925,90
C3,Bottom,1.890,1.102,0
C4,Bottom,1.874,0.709,180
C5,Bottom,1.596,0.748,0
C6,Bottom,1.593,0.516,180
C7,Bottom,2.130,0.616,90
C8,Bottom,1.006,0.587,0
C9,Bottom,1.006,0.524,0
I2C,Bottom,1.185,0.823,180
IR1,Top,1.211,0.079,0
IR2,Top,1.939,0.079,0
JP1,Bottom,2.461,1.059,0
JP9,Bottom,1.185,0.417,180
LD,Top,2.740,0.551,90
LED1,Top,0.350,0.295,330
LED2,Top,0.701,0.295,0
LED3,Top,1.051,0.295,0
LED4,Top,1.402,0.295,0
LED5,Top,1.748,0.295,0
LED6,Top,2.098,0.295,0
LED7,Top,2.449,0.295,0
LED8,Top,2.799,0.295,30
Q1,Bottom,0.516,0.591,180
Q2,Bottom,0.756,0.594,180
Q3,Bottom,2.240,0.480,180
Q4,Bottom,2.413,0.480,180
R1,Bottom,1.858,0.193,0
R2,Bottom,1.130,0.189,0
R3,Bottom,2.874,0.319,180
R4,Bottom,1.994,0.437,0
R5,Bottom,1.884,0.437,180
R6,Bottom,1.356,0.654,180
R7,Bottom,1.010,0.654,0
R8,Bottom,0.476,0.732,270
R9,Bottom,1.295,0.189,180
R10,Bottom,2.024,0.193,180
R11,Bottom,0.384,1.020,270
R12,Bottom,2.969,0.873,0
R13,Bottom,0.791,0.732,270
R14,Bottom,0.717,0.732,270
R15,Bottom,0.551,0.732,270
R16,Bottom,2.276,0.616,90
R17,Bottom,2.201,0.616,90
R18,Bottom,2.453,0.616,90
R19,Bottom,2.378,0.616,90
R20,Bottom,1.356,0.579,180
R21,Bottom,1.356,0.504,180
R22,Bottom,0.681,0.134,270
R23,Bottom,0.776,0.134,270
R24,Bottom,0.870,0.134,270
R25,Bottom,0.965,0.134,270
R26,Bottom,2.181,0.146,270
R27,Bottom,2.272,0.146,270
R28,Bottom,2.362,0.146,270
R29,Bottom,2.453,0.146,270
T1,Bottom,2.669,0.280,270
U1,Bottom,1.890,0.925,0
U2,Top,1.969,0.591,0
U3,Top,1.181,0.591,270
U4,Bottom,1.594,0.626,180
